id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
2507,treasurer,,,,I hold the office of treasurer on the board of directors of the institution.,
2508,treasury,,,,"If the company's treasury is ever in jeopardy, they'll simply come up with another plan.",
2509,treatment,,,,Your treatment of your aunt is pretty outrageous. Why do you have a feud going on?,
2510,tree,,,,What a lovely tree. It must be an oak tree.,
2511,tremble,trembled,trembling,,"Why, you're trembling, my dear. What is the problem?",
2512,trespass,trespassed,trespassing,,There's a sign posted saying that no one may trespass on this land.,
2513,trial,,,,Do you believe you received a fair trial?,
2514,tribe,,,,The native Indian tribe was holding a special festival to which we were invited.,
2515,tributary,,,,The stream is a tributary because it flows into the Mengal River. It 'contributes' to the river.,
2516,tribute,,,,"I would like to pay tribute to one of founders, Mr. Alex Vogel.",
2517,trifle,,,,The text you submitted is a trifle flowery. Could you add in a few more facts?,
2518,triumph,triumphant,,,I feel very triumphant that our football team won.,
2519,trolley,,,,A trolley runs on cables and tracks.,
2520,trouble,,,,"Are you having troubles with your computer, ma'am?",
2521,trousers,,,,The color of his trousers matched his wife's dress.,
2522,truly,,,,I am really and truly in love with you but I cannot condone what you did in the restaurant.,
2523,trumpet,,,,Roll out the red carpet! Sound the trumpets! The queen has arrived.,
2524,trustee,,,,She is a trustee of the company's board of directors.,
2525,try,trying,tried,,Have you tried running that program to see if it would help your problem?,
2526,tube,,,,Poor lady had tubes in her nose for feeding.,
2527,tuberculosis,,,,She died of tuberculosis. It was an unusual circumstance.,
2528,Tuesday,,,,If today is Tuesday then tomorrow must be Wednesday so that means it's time to take out the trash.,
2529,tune,tuned,tuning,,I hired a gentleman to come tune the piano but he hasn't shown up yet.,
2530,tunnel,,,,They will be spending billions of dollars on these tunnels so they darn well better help the efficiency of our city.,
2531,turkey,,,,"We think of turkey when Thanksgiving comes around, but what do we think of when New Year's comes around?",
2532,turn,turning,turned,,"After inserting the key in the keyhole, turn it in a clockwise direction very slowly.",
2533,turnip,,,,"I'm sorry but I don't like turnips. I like other greens though, like spinach.",
2534,turtle,,,,"Turtles can breath under water, right? What about tortoises?",
2535,twelfth,,,,This is the twelfth and last month of the year.,
2536,twelve,,,,The old lady who lived in a shoe had twelve children but didn't know what to do.,
2537,twentieth,,,,On the twentieth car wash you will receive a free wax job on your car.,
2538,twice,,,,One cookie would be nice but two cookies would be twice as nice.,
2539,twilight,,,,"In the twilight hours of the evening, I feel the most peaceful.",
2540,twine,,,,Please hand me some twine so I can bundle up these magazines.,
2541,twinkle,twinkled,twinkling,,The star twinkled way up in the sky.,
2542,twist,twisting,twisted,,I twisted my ankle when hiking and it's all swollen now.,
2543,two,,,,"Give me two cheeseburgers and a large fries, please.",
2544,type,typing,typed,,How fast can you type? Not as fast as you can. How fast is that? Not very fast.,
2545,typewriter,,,,I haven't used a typewriter in years. Only computers.,
2546,typist,,,,If I don't use a typewriter does that mean that I'm not a typist?,
2547,tyranny,,,,It was clearly a case of tyranny. You've never seen someone abuse their power as much as this.,
2548,tyrant,,,,Your boss seems like a tyrant but sure is cute!,
2549,ugly,,,,I feel very ugly today. I don't want to get out in public.,
2550,ukulele,,,,When I was younger I would play the ukulele and my sister would dance.,
2551,umbrella,,,,They say it's bad to open an umbrella inside a house but I don't believe in superstitions.,
2552,unable,,,,I'm sorry but I'm unable to fulfill your request today; please come back tomorrow.,
2553,unbutton,unbuttoned,unbuttoning,,"As soon as I unbuttoned my backpack, it started raining.",
2554,uncertain,,,,"The future may be uncertain but I'm optimistic, nevertheless.",
2555,uncle,,,,Is your uncle your mom's brother or your dad's?,
2556,unconscious,unconsciously,,,She was knocked unconscious by a flying baseball and only just now recovered.,
2557,underneath,,,,Underneath the house I have stored some lawn equipment but it may be all rusty now.,
2558,understand,understood,understanding,,He cannot understand why we are visiting him at this hour of the night.,
2559,understate,understated,understating,,I think you understate the immensity of the problem; it's really quite significant.,
2560,undertake,undertaking,undertaken,,Would you undertake a project like this or is it too big for you to handle?,
2561,undoubtedly,,,,"She is undoubtedly the best candidate as far as qualifications go, but what kind of salary does she demand?",
2562,uneven,,,,Your hemline is uneven. Do you have access to sewing equipment?,
2563,unexpected,unexpectedly,,,Martin unexpectedly showed up just as we were closing up the restaurant.,
2564,unfortunate,unfortunately,,,It is very unfortunate that you will be busy tomorrow. I think the party will be one of the best ever.,
2565,unfurnished,,,,Is the apartment unfurnished or does it have furniture in it already?,
2566,unhappy,,,,You look unhappy today. Did something bad happen earlier?,
2567,unhealthy,,,,Your dad looks quite unhealthy. I hope he's doing okay.,
2568,uniform,,,,My son's school requires the kids to wear uniforms and I think it really helps keep them in line.,
2569,union,,,,I have never joined a union before but I'm thinking about it now.,
2570,unite,united,uniting,,If our forces unite we will have the most powerful army available.,
2571,universal,,,,Would you say that your solution is universal or applies only to that one strain of the virus?,
2572,university,universities,,,At my university we were encouraged to join social clubs but I only wanted to study.,
2573,unknown,,,,It is unknown whether Ms. Simpson will teach this class or not.,
2574,unlawful,,,,It is unlawful to drive down the median of the road.,
2575,unless,,,,"Unless you straighten up, you will never be accepted by the teachers.",
2576,unlike,unlikely,,,This behavior is unlike you. It's unlikely that you will be accepted.,
2577,unnecessary,unnecessarily,,,It is unnecessary for you to continually point out my mistakes. I know when I make a mistake.,
2578,unseen,,,,His entrance was unseen; nobody noticed him until he actually spoke.,
2579,until,,,,"Until now, I had thought you should go. But now I'm having second thoughts.",
2580,untried,,,,"That method of teaching has, as of yet, been untried.",
2581,unusual,unusually,,,Isn't it unusual for Sherry to miss a class? I wonder if something's wrong.,
2582,upholsterer,,,,My mother was an upholsterer of furniture until last year.,
2583,upper,,,,Let's sit in the upper balcony of the theater.,
2584,upright,,,,Was it an upright piano or a grand piano?,
2585,upstairs,,,,Is your bedroom upstairs? Do you want to show me your toys?,
2586,upward,,,,Onward and upward is what I always say. Let's not look back.,
2587,urge,urging,urged,,I urge you to reconsider the situation. Maybe we should both go instead of just you.,
2588,usable,,,,That computer is usable but it might not be as fast as this other one.,
2589,use,used,using,,I could use some help from you if you're not too busy.,
2590,useful,,,,What a useful book. It told me everything I need to know.,
2591,useless,,,,This dictionary is useless because it doesn't give any examples.,
2592,usher,,,,Ask the usher if she will help us find our seats.,
2593,usual,usually,,,Is it usual for Beth to carry her own books?,
2594,utensil,,,,Do you have any eating utensils or should I buy my own?,
2595,utmost,,,,This project is of utmost importance. Drop everything else you're working on.,
2596,utter,uttered,uttering,,He didn't utter a word the entire meeting.,
2597,vacant,,,,How would you go about trying to develop a vacant lot?,
2598,vacation,,,,I would like to take a vacation in the Bahamas but is this a good time of year for that?,
2599,vaccinate,,,,You really should vaccinate your pets before the prices go up.,
2600,vagabond,,,,You could say he's a vagabond because he never stays in one place for longer than a couple days.,
2601,vain,,,,Are you saying that I performed this job in vain? Why won't it do any good?,
2602,vale,,,,Hills and vales must all be traversed.,
2603,valise,,,,You can take your valise on the plane since it's so small.,
2604,valley,,,,Down in the valley you may make all the noise you wish.,
